172.19.0.1 - - [15/Oct/2023:16:57:00 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/117.0.5938.88 Safari/537.36" "-"
172.19.0.1 - - [15/Oct/2023:16:57:07 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36" "-"
172.19.0.1 - - [15/Oct/2023:16:57:12 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36" "-"
172.19.0.1 - - [15/Oct/2023:16:57:40 +0000] "\x16\x03\x01\x01\x04\x01\x00\x01\x00\x03\x03\xAA\xC5\xCC\x9B=\x09;N\xE34v\x1FqJ\xCB\xFA" 400 157 "-" "-" "-"
172.19.0.1 - - [15/Oct/2023:16:57:40 +0000] "GET / HTTP/1.1" 301 169 "-" "-" "-"
172.19.0.1 - - [15/Oct/2023:16:57:40 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA8794) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.9629.98 Mobile Safari/537.3" "-"
172.19.0.1 - - [15/Oct/2023:16:57:41 +0000] "GET /.vscode/sftp.json HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:41 +0000] "GET /about HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:41 +0000] "GET /debug/default/view?panel=config HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:42 +0000] "GET /api/frontend/settings HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:42 +0000] "GET /api/search?folderIds=0 HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:42 +0000] "GET /v2/_catalog HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:42 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:43 +0000] "GET /server-status HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:43 +0000] "GET /login.action HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:43 +0000] "GET /_all_dbs HTTP/1.1" 301 169 "-" "Mozilla/5.0 (l9scan/2.0.239313e29383e2938313e253; +https://leakix.net)" "-"
172.19.0.1 - - [15/Oct/2023:16:57:44 +0000] "GET /.DS_Store HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:44 +0000] "GET /.env HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:44 +0000] "GET /.git/config HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:45 +0000] "GET /s/239313e29383e2938313e253/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:45 +0000] "GET /config.json HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:45 +0000] "GET /telescope/requests HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:45 +0000] "GET /?rest_route=/wp/v2/users/ HTTP/1.1" 301 169 "-" "Go-http-client/1.1" "-"
172.19.0.1 - - [15/Oct/2023:16:57:52 +0000] "GET / HTTP/1.1" 404 153 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/118.0" "-"
172.19.0.1 - - [15/Oct/2023:16:57:58 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36" "-"
172.19.0.1 - - [15/Oct/2023:16:58:00 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/118.0" "-"
172.19.0.1 - - [15/Oct/2023:16:58:47 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-"
